          libro1          libro2          libro3          libro4          libro5          libro6
DISCURSO          1          0          0          0          0          0          
DISCUSIóN          1          0          0          0          0          0          
DISFRAZADOS          0          0          0          0          0          1          
DISFRUTAN          0          0          1          0          0          0          
DISPONíA          0          0          0          0          1          0          
DISPONíAN          0          0          0          0          1          0          
DISPUSIERON          0          0          0          0          1          0          
DISPUSO          0          0          0          0          1          0          
DISTINTOS          0          1          0          0          0          1          
DIVIDE          0          0          1          0          0          0          
DIáLOGO          0          0          1          0          0          0          
DOL          0          0          1          0          0          0          
DOLOROSA          0          0          0          0          0          1          
DONDE          1          1          1          1          1          1          
DORMíAN          0          0          1          0          0          0          
DOS          1          1          1          0          0          1          
DRúADAN          0          0          0          0          1          0          
DRúEDAIN          0          0          0          0          1          0          
DUDAS          1          0          0          0          0          0          
DUNLENDINOS          0          0          0          0          0          1          
DURANTE          1          1          0          0          1          1          
DáNDOLES          1          0          0          0          0          0          
DíA          1          0          1          0          1          0          
DíAS          1          1          0          1          1          1          
DíNEN          0          0          0          0          1          0          
DúNADAN          0          0          0          0          1          0          
DûM          0          1          0          0          0          0          
ECHOR          0          0          0          0          1          0          
EDORAS          0          0          1          0          1          1          
EJERCíA          0          0          1          0          0          0          
EJéRCITO          0          0          1          0          1          0          
EJéRCITOS          0          0          0          0          1          0          
EL          1          1          1          1          1          1          
ELFO          1          1          0          0          0          0          
ELFOS          0          1          0          0          0          1          
ELLA          0          0          0          1          0          0          
ELLA-LARAñA          0          0          0          1          0          0          
ELLADAN          0          0          0          0          1          0          
ELLO          0          0          1          0          0          1          
ELLOS          0          0          0          0          1          1          
ELROHIR          0          0          0          0          1          0          
ELROND          1          1          0          0          0          1          
EMBARGO          1          1          0          1          0          1          
EMISARIO          0          0          0          0          1          0          
EMPRENDE          0          0          0          1          0          0          
EMPRENDEN          0          0          0          1          0          1          
EMYN          0          0          0          1          0          0          
EN          1          1          1          1          1          1          
ENANO          0          1          0          0          0          0          
ENCARGó          0          1          0          0          0          0          
ENCERRADO          0          0          1          0          0          0          
ENCERRó          0          1          0          0          0          0          
ENCONTRADO          1          0          0          0          0          0          
ENCONTRAR          0          0          0          0          1          0          
ENCONTRARA          0          1          0          0          0          0          
ENCONTRARON          0          0          0          0          0          1          
ENCONTRó          1          1          0          0          0          0          
ENCUENTRA          0          0          0          0          0          1          
ENCUENTRAN          1          0          1          1          1          1          
ENCUENTRO          0          0          0          0          1          0          
ENDE          0          0          1          0          0          0          
ENEMIGO          0          1          0          0          1          0          
ENEMIGO;          0          0          0          0          1          0          
ENEMIGOS          0          0          0          1          0          1          
ENFRENTáNDOSE          0          0          0          0          1          0          
ENFRENTó          0          1          0          0          0          0          
ENLOQUECER          0          0          0          0          1          0          
ENLOQUECIDO          0          0          0          0          1          0          
ENORME          0          0          0          1          0          0          
ENSEñó          1          0          0          0          0          0          
ENT          0          0          1          0          0          0          
ENTERáNDOSE          0          0          1          0          0          0          
ENTONCES          1          1          1          0          1          1          
ENTRA          0          0          0          1          1          0          
ENTRAN          0          0          0          1          0          0          
ENTRAR          0          0          0          1          1          0          
ENTRE          0          0          1          1          1          1          
ENTREGó          0          0          0          0          0          1          
ENTS          0          0          1          0          0          0          
ENVIADA          0          0          0          0          1          0          
ENVIAR          0          0          0          0          1          0          
ENVíA          0          0          0          0          1          0          
ERA          0          0          1          0          0          0          
EREGION)          0          1          0          0          0          0          
ES          0          0          0          1          1          1          
ESA          1          0          0          0          0          0          
ESCAPADO          0          0          0          1          0          0          
ESCAPAR          1          1          1          0          0          1          
ESCAPARSE          0          0          1          0          0          0          
ESCARAMUZA          0          0          0          1          0          0          
ESCENA          0          0          0          0          1          0          
ESCOMBROS          0          0          1          0          0          0          
ESCONDIDAS          0          1          0          0          0          0          
ESCRIBIENDO          0          0          0          0          0          1          
ESCUCHADO          0          1          0          0          0          0          
ESE          0          0          1          0          0          1          
ESOS          0          0          0          0          0          1          
ESPADA          0          0          0          0          1          0          
ESPERABA          0          0          0          0          1          0          
ESPERABAN          0          0          0          0          0          1          
ESPESA          0          0          0          0          1          0          
ESQUIVARLOS          0          1          0          0          0          0          
ESTA          1          0          1          0          0          0          
ESTABA          1          1          1          0          1          0          
ESTADO          0          0          0          1          0          0          
ESTADíA          0          0          0          0          1          0          
ESTALLA          0          0          0          0          0          1          
ESTAR          0          1          0          0          0          0          
ESTARíAN          0          1          0          0          0          0          
ESTAS          0          0          1          0          0          0          
ESTE          1          0          1          1          0          1          
ESTO          0          0          0          0          1          0          
ESTOCADA          0          0          0          0          1          0          
ESTORBO          0          0          0          0          1          0          
ESTOS          0          0          0          1          0          0          
ESTRATEGIA          0          0          1          0          0          0          
ESTá          0          0          0          1          0          0          
ESTáN          0          0          1          0          0          0          
EVITAR          1          0          0          0          0          0          
EXISTENCIA          0          0          0          1          0          0          
EXPERIENCIAS          0          0          1          0          0          0          
EXTERIOR          0          0          1          0          0          0          
